path,rel_path,label,samplerate,channels,duration_s,md5
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T10 (7).wav,Aain/1_7_Aain_T10 (7).wav,Aain,16000,1,1.0,bf8a9bdf5aa3ced1bb751755e90e005f
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T10 (8).wav,Aain/1_7_Aain_T10 (8).wav,Aain,16000,1,1.0,cfa78636d3e6df2b6057d4c9949154e9
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T10.wav,Aain/1_7_Aain_T10.wav,Aain,16000,1,1.0,1fae91016e5943817756140c2bb05d79
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T100 (2).wav,Aain/1_7_Aain_T100 (2).wav,Aain,16000,1,1.0,2922f804d5fdc192fa21603c70866db4
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T100 (3).wav,Aain/1_7_Aain_T100 (3).wav,Aain,16000,1,1.0,c3e261678ec824f452d8f0e6fd60a5d1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T100 (4).wav,Aain/1_7_Aain_T100 (4).wav,Aain,16000,1,1.0,1ade6e1a57b649d5a36d39d22e47b071
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T100 (5).wav,Aain/1_7_Aain_T100 (5).wav,Aain,16000,1,1.0,d27b36eaa2e5be1f6a902ad682646839
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T100 (6).wav,Aain/1_7_Aain_T100 (6).wav,Aain,16000,1,1.0,2556adf4b1d85108fc2412d57c4f7007
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T100 (7).wav,Aain/1_7_Aain_T100 (7).wav,Aain,16000,1,1.0,81c93bd4143fe337907f57c1c5cbe491
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T100 (8).wav,Aain/1_7_Aain_T100 (8).wav,Aain,16000,1,1.0,e0dc58261cd0ccf1192353fa3ea34896
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T100.wav,Aain/1_7_Aain_T100.wav,Aain,16000,1,1.0,7811a7d69f0b28baac38d664b91072df
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T11 (2).wav,Aain/1_7_Aain_T11 (2).wav,Aain,16000,1,1.0,39d0b2f17c99d981cab028e2694fd35f
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T11 (3).wav,Aain/1_7_Aain_T11 (3).wav,Aain,16000,1,1.0,3664b260a490c67542155b0fcc08bf17
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T11 (4).wav,Aain/1_7_Aain_T11 (4).wav,Aain,16000,1,1.0,6d1bf63e28da6b706167155478120188
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T11 (5).wav,Aain/1_7_Aain_T11 (5).wav,Aain,16000,1,1.0,f3114e2e8a51a1ab2a21358333c11670
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T11 (6).wav,Aain/1_7_Aain_T11 (6).wav,Aain,16000,1,1.0,1de6162315f3c590695268064691efd8
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T11 (7).wav,Aain/1_7_Aain_T11 (7).wav,Aain,16000,1,1.0,45b6dc312d598bba969f5b658a755041
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T11 (8).wav,Aain/1_7_Aain_T11 (8).wav,Aain,16000,1,1.0,0243b5008ae28bf74c7f4f05ea32af19
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T11.wav,Aain/1_7_Aain_T11.wav,Aain,16000,1,1.0,cb3ecf63571fa9fd021f93bcd2c6ed50
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T111 (2).wav,Aain/1_7_Aain_T111 (2).wav,Aain,16000,1,1.0,3108c625d26c46fb204db1f4b1728fb5
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T111 (3).wav,Aain/1_7_Aain_T111 (3).wav,Aain,16000,1,1.0,b9e2774327700524a745038834e392ee
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T111 (4).wav,Aain/1_7_Aain_T111 (4).wav,Aain,16000,1,1.0,7075042f0ed8f6f232c556b0e05bcb39
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T111 (5).wav,Aain/1_7_Aain_T111 (5).wav,Aain,16000,1,1.0,2773d8ee12379325706d85e20a9b25bc
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T111 (6).wav,Aain/1_7_Aain_T111 (6).wav,Aain,16000,1,1.0,8e3b9f6d5304fdb607f57ccabc01112d
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T111 (7).wav,Aain/1_7_Aain_T111 (7).wav,Aain,16000,1,1.0,7c591227c302190e5d5987f0ea816a5d
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T111 (8).wav,Aain/1_7_Aain_T111 (8).wav,Aain,16000,1,1.0,5ee7e7f693fc56a32e698d6748336a95
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T111.wav,Aain/1_7_Aain_T111.wav,Aain,16000,1,1.0,6722f62761ce50f8b8f970a641bca497
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T112 (2).wav,Aain/1_7_Aain_T112 (2).wav,Aain,16000,1,1.0,c6a2d395188c60211e0290ac219acd28
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T112 (3).wav,Aain/1_7_Aain_T112 (3).wav,Aain,16000,1,1.0,983749aa501ccd020439cceb697f64a4
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T112 (4).wav,Aain/1_7_Aain_T112 (4).wav,Aain,16000,1,1.0,6d706ab43984e0fbe1da756095721e5e
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T112 (5).wav,Aain/1_7_Aain_T112 (5).wav,Aain,16000,1,1.0,5f7d57a122e9f01e39b3067dc547335f
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T112 (6).wav,Aain/1_7_Aain_T112 (6).wav,Aain,16000,1,1.0,eff9f27f625b04c1897f45d4eb72c826
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T112 (7).wav,Aain/1_7_Aain_T112 (7).wav,Aain,16000,1,1.0,f210a9293052eba2aa53cb12151a84d4
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T112 (8).wav,Aain/1_7_Aain_T112 (8).wav,Aain,16000,1,1.0,4b402336a22959b2b8f8756a8f577832
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T112.wav,Aain/1_7_Aain_T112.wav,Aain,16000,1,1.0,ec050c0bb8a67e83a8625d764f2e3164
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T12 (2).wav,Aain/1_7_Aain_T12 (2).wav,Aain,16000,1,1.0,01d755c0c34d29e431ac28ec35f42499
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T12 (3).wav,Aain/1_7_Aain_T12 (3).wav,Aain,16000,1,1.0,96787ec033be1b817b84ed52ddfef601
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T12 (4).wav,Aain/1_7_Aain_T12 (4).wav,Aain,16000,1,1.0,2ff3bf1ecef40c384e798e90a93bc673
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T12 (5).wav,Aain/1_7_Aain_T12 (5).wav,Aain,16000,1,1.0,1be3e79beb0e4e4bc3b47bc68d6e24cf
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T12 (6).wav,Aain/1_7_Aain_T12 (6).wav,Aain,16000,1,1.0,1fa98bf79e7e5e80f2bd586459962fb3
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T12 (7).wav,Aain/1_7_Aain_T12 (7).wav,Aain,16000,1,1.0,b7fa8bd55655ebcc6ecd3ee6ddee587a
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T12 (8).wav,Aain/1_7_Aain_T12 (8).wav,Aain,16000,1,1.0,10fdf4dd57d05a6be4768bcae8255996
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T12.wav,Aain/1_7_Aain_T12.wav,Aain,16000,1,1.0,51c111d6923ed55e8b62ba1c768bcd00
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13 (2).wav,Aain/1_7_Aain_T13 (2).wav,Aain,16000,1,1.0,604c6fb7844e7ec3bc222ed02e13b8cf
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13 (3).wav,Aain/1_7_Aain_T13 (3).wav,Aain,16000,1,1.0,e5f74223319a51b2b857597e5ec72544
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13 (4).wav,Aain/1_7_Aain_T13 (4).wav,Aain,16000,1,1.0,9293d60f1f8b176ed4c70791667b3333
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13 (5).wav,Aain/1_7_Aain_T13 (5).wav,Aain,16000,1,1.0,5722a6b5e9d2bcfcae83a6013bd27cde
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13 (6).wav,Aain/1_7_Aain_T13 (6).wav,Aain,16000,1,1.0,735b462f531c4331de5508caf69424ea
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13 (7).wav,Aain/1_7_Aain_T13 (7).wav,Aain,16000,1,1.0,37f5ab6f045eafd814fb6115024278b0
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13 (8).wav,Aain/1_7_Aain_T13 (8).wav,Aain,16000,1,1.0,040992ff9b16ab0c83b0f5ec75ac76de
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13.wav,Aain/1_7_Aain_T13.wav,Aain,16000,1,1.0,adc045e2f215832100c889847eaf5960
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T137 (2).wav,Aain/1_7_Aain_T137 (2).wav,Aain,16000,1,1.0,0c054dd084a51763fbab882c3d6b7fa4
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T137 (3).wav,Aain/1_7_Aain_T137 (3).wav,Aain,16000,1,1.0,f74c8b3ec8cfa4050e776be9671f82ac
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T137 (4).wav,Aain/1_7_Aain_T137 (4).wav,Aain,16000,1,1.0,095a221a5baf74d738ffa6c9b47c623a
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T137 (5).wav,Aain/1_7_Aain_T137 (5).wav,Aain,16000,1,1.0,92dc6a7764e1230671fb8bc7bbea5617
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T137 (6).wav,Aain/1_7_Aain_T137 (6).wav,Aain,16000,1,1.0,ff0e872b7d9b393c1f51b44848a614a1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T137 (7).wav,Aain/1_7_Aain_T137 (7).wav,Aain,16000,1,1.0,04b99cabd683d6c45e74216772ecc857
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T137 (8).wav,Aain/1_7_Aain_T137 (8).wav,Aain,16000,1,1.0,07f5e2d34c9f46af5a3f12b8edadd347
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T137.wav,Aain/1_7_Aain_T137.wav,Aain,16000,1,1.0,b98a345bbbd6f1961173afdeee3843a9
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T138 (2).wav,Aain/1_7_Aain_T138 (2).wav,Aain,16000,1,1.0,c8b87809ee5b04aafe5b4463fa23c4ea
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T138 (3).wav,Aain/1_7_Aain_T138 (3).wav,Aain,16000,1,1.0,53f26108387c1634893257d7e40e677d
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T138 (4).wav,Aain/1_7_Aain_T138 (4).wav,Aain,16000,1,1.0,09d9a81d4d1dbeb8f8a8d828affbc102
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T138 (5).wav,Aain/1_7_Aain_T138 (5).wav,Aain,16000,1,1.0,b2e1d0e7d6d7e81aa0d98332a2f8463a
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T138 (6).wav,Aain/1_7_Aain_T138 (6).wav,Aain,16000,1,1.0,419d16ad6735fdf1b94a4b0fe2f88f1b
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T138 (7).wav,Aain/1_7_Aain_T138 (7).wav,Aain,16000,1,1.0,f4beee9aa1567b98da76bb6926122226
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T138 (8).wav,Aain/1_7_Aain_T138 (8).wav,Aain,16000,1,1.0,ff8d6280d02b4724e04ee4f6414caeb4
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T138.wav,Aain/1_7_Aain_T138.wav,Aain,16000,1,1.0,c1dea9a6417cc85fc9d6a864a0db4760
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13b (2).wav,Aain/1_7_Aain_T13b (2).wav,Aain,16000,1,1.0,6d8523f7c49f16fdc0c6fd077adb9a82
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13b (3).wav,Aain/1_7_Aain_T13b (3).wav,Aain,16000,1,1.0,a5dad2e6aa86d4dfdb6c36b6afdbc5e8
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13b (4).wav,Aain/1_7_Aain_T13b (4).wav,Aain,16000,1,1.0,53d8e1f1c5e6694d1663be3dd37073bd
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13b (5).wav,Aain/1_7_Aain_T13b (5).wav,Aain,16000,1,1.0,166ed7728715021fed7fc1ff9772af1d
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13b (6).wav,Aain/1_7_Aain_T13b (6).wav,Aain,16000,1,1.0,28c845da6066353d6a8f11b0ed8627a1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13b (7).wav,Aain/1_7_Aain_T13b (7).wav,Aain,16000,1,1.0,637de22cc4c3ca5649dd4959c54ae390
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13b (8).wav,Aain/1_7_Aain_T13b (8).wav,Aain,16000,1,1.0,b919630af0fa2582773f1ac42dc0d1ea
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13b.wav,Aain/1_7_Aain_T13b.wav,Aain,16000,1,1.0,a44c4bb7ec299d1c21cba2d7e513753d
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14 (2).wav,Aain/1_7_Aain_T14 (2).wav,Aain,16000,1,1.0,d26c0fa68da5a544520430b9818ae719
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14 (3).wav,Aain/1_7_Aain_T14 (3).wav,Aain,16000,1,1.0,ff4259463e56c684529c1bad7e7b37d3
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14 (4).wav,Aain/1_7_Aain_T14 (4).wav,Aain,16000,1,1.0,338fd6ae0c6aa7853f71b3a4747f4d85
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14 (5).wav,Aain/1_7_Aain_T14 (5).wav,Aain,16000,1,1.0,d66a33b6f540cd6601e503eed50fdc73
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14 (6).wav,Aain/1_7_Aain_T14 (6).wav,Aain,16000,1,1.0,ff41a19d725ad424b52929c2b1ebbc7c
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14 (7).wav,Aain/1_7_Aain_T14 (7).wav,Aain,16000,1,1.0,fcf366e60f0355b094fedaa998ab68b5
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14 (8).wav,Aain/1_7_Aain_T14 (8).wav,Aain,16000,1,1.0,c0fd6f8a99280e97b7c53d3f933c8de8
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14.wav,Aain/1_7_Aain_T14.wav,Aain,16000,1,1.0,ea9c0404bedba7b8b3b278cd6d37741c
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14b (2).wav,Aain/1_7_Aain_T14b (2).wav,Aain,16000,1,1.0,3fab297be642efddb123a5c744829013
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14b (3).wav,Aain/1_7_Aain_T14b (3).wav,Aain,16000,1,1.0,3be059f70d83d126f11516a0a2df2267
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14b (4).wav,Aain/1_7_Aain_T14b (4).wav,Aain,16000,1,1.0,5e0e16c96ae031b25fbe5c90ecd747c2
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14b (5).wav,Aain/1_7_Aain_T14b (5).wav,Aain,16000,1,1.0,9d25cc26e41f6aa1f0a207b2c594a760
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14b (6).wav,Aain/1_7_Aain_T14b (6).wav,Aain,16000,1,1.0,4ca58ab1b5e622ad34505eb897781cd2
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14b (7).wav,Aain/1_7_Aain_T14b (7).wav,Aain,16000,1,1.0,7d1404ef4c3f6f90e1ee1bb9d4b9d2fd
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14b (8).wav,Aain/1_7_Aain_T14b (8).wav,Aain,16000,1,1.0,339fe3d25b7c34773182558800bb21a8
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14b.wav,Aain/1_7_Aain_T14b.wav,Aain,16000,1,1.0,90b007a2126f6da715f6b04212438dde
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16 (2).wav,Aain/1_7_Aain_T16 (2).wav,Aain,16000,1,1.0,0e35b2ac57c5bd238fe33b7fd2bb1376
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16 (3).wav,Aain/1_7_Aain_T16 (3).wav,Aain,16000,1,1.0,d2ac86a5f8963d527a4a168eb0762d51
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16 (4).wav,Aain/1_7_Aain_T16 (4).wav,Aain,16000,1,1.0,827c79f241059c7908d1d6b938f3ce17
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16 (5).wav,Aain/1_7_Aain_T16 (5).wav,Aain,16000,1,1.0,fa3e07f400bd572dd15175fde841c426
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16 (6).wav,Aain/1_7_Aain_T16 (6).wav,Aain,16000,1,1.0,8345a6eaac8ae0680c697a069a3e7f6e
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16 (7).wav,Aain/1_7_Aain_T16 (7).wav,Aain,16000,1,1.0,8fd8070c17f755dd34ea316a22b44aa8
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16 (8).wav,Aain/1_7_Aain_T16 (8).wav,Aain,16000,1,1.0,8393f9d42f25f1893b740f066c80dcdf
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16.wav,Aain/1_7_Aain_T16.wav,Aain,16000,1,1.0,616e6fa56630a9ea57f763b244138537
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16b (2).wav,Aain/1_7_Aain_T16b (2).wav,Aain,16000,1,1.0,0d3bb4c46e8ca3f3e23a7a3659ffc39a
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16b (3).wav,Aain/1_7_Aain_T16b (3).wav,Aain,16000,1,1.0,c39f34b5878b256d745571b5dedadf20
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16b (4).wav,Aain/1_7_Aain_T16b (4).wav,Aain,16000,1,1.0,2d9c6a48d18a08bc391369df39271bb0
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16b (5).wav,Aain/1_7_Aain_T16b (5).wav,Aain,16000,1,1.0,379b3e5ba2c862d83dc83782a99047e6
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16b (6).wav,Aain/1_7_Aain_T16b (6).wav,Aain,16000,1,1.0,b656d975fe3d3dd7ac800f25d0a14552
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16b (7).wav,Aain/1_7_Aain_T16b (7).wav,Aain,16000,1,1.0,ac71a70abb517cb7c29e5f6c77844b91
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16b (8).wav,Aain/1_7_Aain_T16b (8).wav,Aain,16000,1,1.0,12f597c837804987066b217dae23e416
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T16b.wav,Aain/1_7_Aain_T16b.wav,Aain,16000,1,1.0,5fd00a49b3565d854a7590c2597255d4
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T2 (2).wav,Aain/1_7_Aain_T2 (2).wav,Aain,16000,1,1.0,8a25bbf4b650d580f64d8229787e46ee
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T2 (3).wav,Aain/1_7_Aain_T2 (3).wav,Aain,16000,1,1.0,d4ae8a6bc8a2436893f768fd041972e1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T2 (4).wav,Aain/1_7_Aain_T2 (4).wav,Aain,16000,1,1.0,c851d79b225226c4944a4e4e89d3575c
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T2 (5).wav,Aain/1_7_Aain_T2 (5).wav,Aain,16000,1,1.0,27a4e648a05ce5a6a2b222f2c64d7977
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T2 (6).wav,Aain/1_7_Aain_T2 (6).wav,Aain,16000,1,1.0,cdbe029ad6fa81127df433482eecc69e
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T2 (7).wav,Aain/1_7_Aain_T2 (7).wav,Aain,16000,1,1.0,11e2a4ac3a8b3fff353bf43b01df58aa
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T2 (8).wav,Aain/1_7_Aain_T2 (8).wav,Aain,16000,1,1.0,b3ca83976885099e072ee383b9051f64
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T2.wav,Aain/1_7_Aain_T2.wav,Aain,16000,1,1.0,88a35fd51ad5fa6d164797f5056ecf0f
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T20-T_E (2).wav,Aain/1_7_Aain_T20-T_E (2).wav,Aain,16000,1,1.0,eccad6af2c5256f2ff276f5f910218ca
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T20-T_E (3).wav,Aain/1_7_Aain_T20-T_E (3).wav,Aain,16000,1,1.0,1eafad397b79673525981607f88c9ed3
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T20-T_E (4).wav,Aain/1_7_Aain_T20-T_E (4).wav,Aain,16000,1,1.0,27b152a2033de8ae94a56972093af614
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T20-T_E (5).wav,Aain/1_7_Aain_T20-T_E (5).wav,Aain,16000,1,1.0,629f2e873486e26a43421404bc88220a
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T20-T_E (6).wav,Aain/1_7_Aain_T20-T_E (6).wav,Aain,16000,1,1.0,c985fae58145eb1b81a26fc67db6a887
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T20-T_E (7).wav,Aain/1_7_Aain_T20-T_E (7).wav,Aain,16000,1,1.0,eb853fb5649cdfeb31d651143ff4dcf3
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T20-T_E (8).wav,Aain/1_7_Aain_T20-T_E (8).wav,Aain,16000,1,1.0,b8a128c1a16e40f18ee7843b33460baa
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T20-T_E.wav,Aain/1_7_Aain_T20-T_E.wav,Aain,16000,1,1.0,e1fef3d8c98033bb4d3c80b078e45cdd
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T21 (2).wav,Aain/1_7_Aain_T21 (2).wav,Aain,16000,1,1.0,87241f44092d635dd1b2ebd33bca1dd4
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T21 (3).wav,Aain/1_7_Aain_T21 (3).wav,Aain,16000,1,1.0,5e029abf34fb8a64c68c4ccc7603df38
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T21 (4).wav,Aain/1_7_Aain_T21 (4).wav,Aain,16000,1,1.0,35955e19cd27e55342d2b8a7afe5dbbc
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T21 (5).wav,Aain/1_7_Aain_T21 (5).wav,Aain,16000,1,1.0,b32f244a0ddf712157a15e5e43e5db1f
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T21 (6).wav,Aain/1_7_Aain_T21 (6).wav,Aain,16000,1,1.0,42e0c43a778b384e3ac7a0f9cfea1b78
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T21 (7).wav,Aain/1_7_Aain_T21 (7).wav,Aain,16000,1,1.0,f46d537162a15b2885e44354df27c156
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T21 (8).wav,Aain/1_7_Aain_T21 (8).wav,Aain,16000,1,1.0,cf14c28ed4c870da636af13eb4080015
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T21.wav,Aain/1_7_Aain_T21.wav,Aain,16000,1,1.0,eb1e300ae61a447c4bc3efe2192a76f0
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T22 (2).wav,Aain/1_7_Aain_T22 (2).wav,Aain,16000,1,1.0,0b5abd1560bf20bf62c21c8e80a76c07
